Rank,Team,ELO_Rating,Avg_Rating,1_Year_Change,Total_Matches,Home,Away,Neutral,Wins,Losses,Draws,Goals_For,Goals_Against
1,Spain,2165,1946,+15,780,340,302,138,461,138,181,1591,697
2,Argentina,2113,1987,-28,1109,381,419,309,610,228,271,2112,1136
3,France,2081,1795,+51,938,473,341,124,474,269,195,1706,1272
4,England,2020,1983,+9,1160,509,524,127,683,215,262,2719,1118
5,Brazil,1984,1998,-9,1065,372,346,347,670,172,223,2294,954
5,Portugal,1984,1797,-4,694,320,262,112,346,189,159,1222,779
7,Colombia,1975,1621,+24,648,184,229,235,265,205,178,842,741
8,Netherlands,1961,1848,-5,901,429,358,114,465,239,197,1892,1142
9,Ecuador,1933,1525,+22,598,183,211,204,183,254,161,719,903
10,Croatia,1930,1881,+19,398,156,167,75,209,83,106,694,401
11,Germany,1923,1911,-64,1045,469,415,161,604,224,217,2352,1232
12,Norway,1912,1623,+83,886,425,409,52,334,355,197,1373,1443
13,Japan,1904,1467,+28,835,331,207,297,408,257,170,1517,985
14,Turkey,1902,1611,+65,669,290,300,79,263,250,156,947,969
15,Uruguay,1892,1876,-29,1019,336,432,251,446,321,252,1610,1254
16,Switzerland,1889,1690,+77,895,425,392,78,319,373,203,1335,1482
17,Senegal,1878,1590,+119,704,221,259,224,319,192,193,967,669
18,Denmark,1869,1799,+8,903,413,396,94,419,298,186,1650,1220
19,Belgium,1867,1755,+23,876,415,375,86,390,302,184,1599,1359
20,Mexico,1858,1782,+41,1027,296,273,458,532,258,237,1821,1055
21,Italy,1856,1915,-58,901,407,323,171,479,177,245,1579,894
22,Paraguay,1833,1755,+33,788,214,365,209,276,303,209,1002,1115
23,Austria,1827,1810,-10,865,431,383,51,370,310,185,1560,1321
24,Morocco,1821,1657,+15,727,317,219,191,363,165,199,1098,614
25,Canada,1784,1599,+6,488,152,200,136,189,185,114,626,623
26,Australia,1783,1672,+46,635,271,223,141,326,179,130,1289,714
